name,artist,uri,popularity,album_name,release_date,album_art_url,genres
25,Rod Wave,spotify:track:0U60hgxzGit7juEuHul2y3,75,Last Lap,2024-10-11,https://i.scdn.co/image/ab67616d0000b2734664214921c777be06d1ab00,florida rap
Kitchen,SZA,spotify:track:3VPeA7IW68QRNTfgzb6biZ,80,SOS Deluxe: LANA,2024-12-20,https://i.scdn.co/image/ab67616d0000b2737f5a318e3ff35defa8d0e4af,"pop, r&b, rap"
peekaboo (feat. azchike),Kendrick Lamar,spotify:track:2Uts1QFB4u2YNIMiqcb4de,82,GNX,2024-11-22,https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58,"conscious hip hop, hip hop, rap, west coast rap"
Burning Down (with Joe Jonas),Alex Warren,spotify:track:3diSxgK7bRIZzqu5IqFgd1,74,Burning Down (with Joe Jonas),2024-12-06,https://i.scdn.co/image/ab67616d0000b2732fa3078d30095db125d905ec,"gen z singer-songwriter, singer-songwriter pop"
A Bar Song (Tipsy),Shaboozey,spotify:track:2FQrifJ1N335Ljm3TjTVVf,86,A Bar Song (Tipsy),2024-04-12,https://i.scdn.co/image/ab67616d0000b27380d86d636244b72a3a1eede2,"modern country pop, pop rap"
Cowboy Songs,George Birge,spotify:track:7LV9OX6WfOTndB4BqoXDEE,56,Cowboy Songs,2024-02-23,https://i.scdn.co/image/ab67616d0000b27372fb07672dd21b0fd6a97928,"modern country pop, texas country"
St. Chroma (feat. Daniel Caesar),"Tyler, The Creator",spotify:track:1QoyuMHNBe7lg3YW4Qtll4,85,CHROMAKOPIA,2024-10-28,https://i.scdn.co/image/ab67616d0000b273124e9249fada4ff3c3a0739c,"hip hop, rap"
on one tonight,Gunna,spotify:track:6EUcP55GlbmsmCzfL2vxtZ,84,One of Wun,2024-05-10,https://i.scdn.co/image/ab67616d0000b273c67636f3021f5869095c0fc5,"atl hip hop, melodic rap, rap, trap"
High Road,Zach Bryan,spotify:track:4CcozggmhXmndssEDH6YHR,75,High Road,2024-11-07,https://i.scdn.co/image/ab67616d0000b2731d28fa5a24b9be266a528af0,classic oklahoma country
Holy Smokes,Bailey Zimmerman,spotify:track:1kMWJ16W3Yk3hyNmaM7jfQ,75,Holy Smokes,2024-02-23,https://i.scdn.co/image/ab67616d0000b27318d27696b412e049ec4bb73e,"contemporary country, modern country pop"
Chill Baby,SZA,spotify:track:0qpdzfTxAkOREtvvGO5oew,78,SOS Deluxe: LANA,2024-12-20,https://i.scdn.co/image/ab67616d0000b2737f5a318e3ff35defa8d0e4af,"pop, r&b, rap"
Ends of the Earth,Ty Myers,spotify:track:30rU9CBF5cwiexNHJffkLS,72,Ends of the Earth,2024-10-18,https://i.scdn.co/image/ab67616d0000b2731257d2423e977d024b10ef1f,No genres available
Wondering Why,The Red Clay Strays,spotify:track:1HbzxLqpNVPdiBXvpC7Ovb,80,Moment of Truth,2022-04-29,https://i.scdn.co/image/ab67616d0000b27303fd430cb92bf7c49183ab6f,modern country pop
The Largest,BigXthaPlug,spotify:track:3neOwym9kfYsM1QWaR77C1,73,TAKE CARE,2024-10-11,https://i.scdn.co/image/ab67616d0000b273fed9afd601a1732fdae85ea8,southern hip hop
PIToRRO DE COCO,Bad Bunny,spotify:track:1OSOHTBFkIkhUtxhOyUksc,80,PIToRRO DE COCO,2024-12-26,https://i.scdn.co/image/ab67616d0000b2735efa26bea478e40e6dd4a9fd,"reggaeton, trap latino, urbano latino"
"dodger blue (feat. wallie the sensei, siete7x, roddy ricch)",Kendrick Lamar,spotify:track:4K1Pg0FLno1ltzX3jeqT83,83,GNX,2024-11-22,https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58,"conscious hip hop, hip hop, rap, west coast rap"
What Is This Feeling?,Ariana Grande,spotify:track:7eGuPhpdS8sBjPJNuAShUX,84,Wicked: The Soundtrack,2024-11-22,https://i.scdn.co/image/ab67616d0000b27341ded89391c5350f6b8f991c,pop
NADIE,Tito Double P,spotify:track:7sd6zMrgGpEa7NkQm9TRrg,88,NADIE,2024-11-21,https://i.scdn.co/image/ab67616d0000b273369bcf083996da3c3b6d1f40,corrido
Juno,Sabrina Carpenter,spotify:track:21B4gaTWnTkuSh77iWEXdS,86,Short n' Sweet,2024-08-23,https://i.scdn.co/image/ab67616d0000b273fd8d7a8d96871e791cb1f626,pop
ROSONES,Tito Double P,spotify:track:0LTwdL5yZ6YOTEGUQPFuSN,88,ROSONES,2024-12-05,https://i.scdn.co/image/ab67616d0000b273c6d0e8bfb41e9d9cee3a1248,corrido
Brokey,Latto,spotify:track:1JF8LkQWZ8grXb2emqrNKn,70,Sugar Honey Iced Tea,2024-08-09,https://i.scdn.co/image/ab67616d0000b27358726b4f55decb5fb2684cf6,trap queen
